,title,views, data_time,video_link,thumbnail_link
26,GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,879 views,2 weeks ago,https://www.youtube.com/watch?v=-45THxt4sE8,https://i.ytimg.com/vi/-45THxt4sE8/hqdefault.jpg
27,GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,571 views,3 weeks ago,https://www.youtube.com/watch?v=9pN0jPYvJcM,https://i.ytimg.com/vi/9pN0jPYvJcM/hqdefault.jpg
28,GfG 160 | Day- 24 | Merge Overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,579 views,3 weeks ago,https://www.youtube.com/watch?v=NgqBuVrtB9U,https://i.ytimg.com/vi/NgqBuVrtB9U/hqdefault.jpg
29,GfG 160 | Day - 23 | Count Inversions | 160 Days Daily DSA Problem Solving | GeeksforGeeks,729 views,3 weeks ago,https://www.youtube.com/watch?v=XhWxlh1ObDc,https://i.ytimg.com/vi/XhWxlh1ObDc/hqdefault.jpg
30,GfG 160 | Day - 22 | H-Index | 160 Days Daily DSA Problem Solving | GeeksforGeeks,775 views,3 weeks ago,https://www.youtube.com/watch?v=9fA8Pg4Q2QI,https://i.ytimg.com/vi/9fA8Pg4Q2QI/hqdefault.jpg
31,Tech Hiring in 2025: Complete Career Guide by Bain & Company Director,653 views,3 weeks ago,https://www.youtube.com/watch?v=bVQCe5l_cZw,https://i.ytimg.com/vi/bVQCe5l_cZw/hqdefault.jpg
32,"GfG 160 | Day - 21 | Sort an array of 0s, 1s and 2s | 160 Days Daily DSA Problem Solving | GfG",630 views,3 weeks ago,https://www.youtube.com/watch?v=A-ytmX7bXE4,https://i.ytimg.com/vi/A-ytmX7bXE4/hqdefault.jpg
33,GfG 160 | FAQs Video | 160 Days Daily DSA Problem Solving,910 views,3 weeks ago,https://www.youtube.com/watch?v=EQTzVinWQ_g,https://i.ytimg.com/vi/EQTzVinWQ_g/hqdefault.jpg
34,GfG 160 | Day - 20 | String Rotations of each other | 160 Days Daily DSA Problem Solving | GfG,611 views,3 weeks ago,https://www.youtube.com/watch?v=UOLi02in9BE,https://i.ytimg.com/vi/UOLi02in9BE/hqdefault.jpg
35,GeeksforGeeks- A Global Coding Community,439 views,3 weeks ago,https://www.youtube.com/watch?v=hqA1A9AUiWU,https://i.ytimg.com/vi/hqA1A9AUiWU/hqdefault.jpg
36,GfG 160 | Day - 19 | Min Chars to Add for Palindrome | 160 Days Daily DSA Problem Solving | GfG,689 views,3 weeks ago,https://www.youtube.com/watch?v=Kl302p8FxS4,https://i.ytimg.com/vi/Kl302p8FxS4/hqdefault.jpg
37,GfG 160 | Day - 18 | KMP Algorithm for Pattern Searching | 160 Days Daily DSA Problem Solving | GfG,761 views,4 weeks ago,https://www.youtube.com/watch?v=UUcec5qbfZI,https://i.ytimg.com/vi/UUcec5qbfZI/hqdefault.jpg
38,Introduction to Strings: 4-Hour Complete Video | DSA Series for Beginners,4.8K views,4 weeks ago,https://www.youtube.com/watch?v=qdj6l7PaulA,https://i.ytimg.com/vi/qdj6l7PaulA/hqdefault.jpg
39,GfG 160 | Day - 17 | First Non-Repeating Character | 160 Days Daily DSA Problem Solving | GfG,587 views,4 weeks ago,https://www.youtube.com/watch?v=NxnfmfScXBE,https://i.ytimg.com/vi/NxnfmfScXBE/hqdefault.jpg
40,GfG 160 | Day - 16 | Anagram Check | 160 Days Daily DSA Problem Solving | GeeksforGeeks,741 views,4 weeks ago,https://www.youtube.com/watch?v=Tr3s_nuSGgM,https://i.ytimg.com/vi/Tr3s_nuSGgM/hqdefault.jpg
41,GfG 160 | Day - 15 | Add Two Binary Strings | 160 Days Daily DSA Problem Solving | GfG,860 views,1 month ago,https://www.youtube.com/watch?v=WMmu8ktpF3k,https://i.ytimg.com/vi/WMmu8ktpF3k/hqdefault.jpg
42,"I went to the House of a Microsoft Software Engineer | Life at Microsoft |SDE Roadmap, Salary, Perks",15K views,1 month ago,https://www.youtube.com/watch?v=vNVSlT0WgKk,https://i.ytimg.com/vi/vNVSlT0WgKk/hqdefault.jpg
43,GfG 160 | Day - 14 | String to Integer - Your Own atoi() | 160 Days Daily DSA Problem Solving | GfG,826 views,1 month ago,https://www.youtube.com/watch?v=ne_Ki_sdRSk,https://i.ytimg.com/vi/ne_Ki_sdRSk/hqdefault.jpg
44,GfG 160 | Day - 13 | First Missing Positive | 160 Days Daily DSA Problem Solving | GeeksforGeeks,790 views,1 month ago,https://www.youtube.com/watch?v=LGGKan4TOXM,https://i.ytimg.com/vi/LGGKan4TOXM/hqdefault.jpg
45,GfG 160 | Day - 12 | Maximum Sum Subarray in Circular | 160 Days Daily DSA Problem Solving | GfG,810 views,1 month ago,https://www.youtube.com/watch?v=l7smKuFKnNU,https://i.ytimg.com/vi/l7smKuFKnNU/hqdefault.jpg
46,"How She Cracked Google, Microsoft and Goldman Sachs? | Inspirational Journey",4.2K views,1 month ago,https://www.youtube.com/watch?v=EI_sa4mRuzY,https://i.ytimg.com/vi/EI_sa4mRuzY/hqdefault.jpg
47,GfG 160 | Day - 11 | Maximum Product Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,797 views,1 month ago,https://www.youtube.com/watch?v=54ftU2BX32Q,https://i.ytimg.com/vi/54ftU2BX32Q/hqdefault.jpg
48,GfG 160 | Day - 10 | Maximum Sum Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,817 views,1 month ago,https://www.youtube.com/watch?v=UtKnJyQmptY,https://i.ytimg.com/vi/UtKnJyQmptY/hqdefault.jpg
49,OFF CAMPUS Placement and Internship 2025 Calendar revealed | Which company hires when?,4.9K views,1 month ago,https://www.youtube.com/watch?v=m1bMe7YBLfQ,https://i.ytimg.com/vi/m1bMe7YBLfQ/hqdefault.jpg
50,GfG 160 | Day - 9 | Minimize the Heights | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1K views,1 month ago,https://www.youtube.com/watch?v=FbwS1Uc1G5g,https://i.ytimg.com/vi/FbwS1Uc1G5g/hqdefault.jpg
51,GfG 160 | Day - 8 | Stock Buy and Sell (With One Limit) | 160 Days Daily DSA Problem Solving | GfG,930 views,1 month ago,https://www.youtube.com/watch?v=SJ7nskvro4k,https://i.ytimg.com/vi/SJ7nskvro4k/hqdefault.jpg
52,Master Front End Development with this Roadmap | Free Doc Resource Inside,1.6K views,1 month ago,https://www.youtube.com/watch?v=oerwFx6CZk4,https://i.ytimg.com/vi/oerwFx6CZk4/hqdefault.jpg
53,Winter Carnival Tickets are Live Now,541 views,1 month ago,https://www.youtube.com/watch?v=k5fAC_ORuOg,https://i.ytimg.com/vi/k5fAC_ORuOg/hqdefault.jpg
54,GfG 160 | Day - 7 | Stock Buy and Sell (With No Limit) | 160 Days Daily DSA Problem Solving | GfG,1.1K views,1 month ago,https://www.youtube.com/watch?v=ULd5mo-bCE4,https://i.ytimg.com/vi/ULd5mo-bCE4/hqdefault.jpg
